"ddg.type","ddg.num","ddg.name","ddg.value","ddg.val.type","ddg.scope","ddg.from.env","ddg.time","ddg.hash","ddg.loc"
"URL",1,"http://harvardforest.fas.harvard.edu/sites/harvardforest.fas.harvard.edu/files/weather/metsta.dat","data/1-metsta.dat","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","R_GlobalEnv",FALSE,"2019-06-10T15.32.29EDT","",""
"Data",2,"raw.file","""101,2019,1,15,.894,99.5,.819,.508,0,.133,-2.835,1011,2.606,2.352,150.1,25.32,6....","{""container"":""vector"", ""dimension"":[15531], ""type"":[""character""]}","R_GlobalEnv",FALSE,"","",""
"Data",3,"hourly.vector","logical(0)","{""container"":""vector"", ""dimension"":[0], ""type"":[""logical""]}","R_GlobalEnv",FALSE,"","",""
"Data",4,"daily.vector","logical(0)","{""container"":""vector"", ""dimension"":[0], ""type"":[""logical""]}","R_GlobalEnv",FALSE,"","",""
"Data",5,"hourly.vector","""101,2019,1,15,.894,99.5,.819,.508,0,.133,-2.835,1011,2.606,2.352,150.1,25.32,6....","{""container"":""vector"", ""dimension"":[15371], ""type"":[""character""]}","R_GlobalEnv",FALSE,"","",""
"Data",6,"daily.vector","""102,2019,1,2400,.264,4.18,-3.618,72.9,80.1,64.99,-4.035,-.105,-7.41,0,.13944,44...","{""container"":""vector"", ""dimension"":[160], ""type"":[""character""]}","R_GlobalEnv",FALSE,"","",""
"Data",7,"hourly.file","hourly.csv","file","R_GlobalEnv",FALSE,"","",""
"Data",8,"daily.file","daily.csv","file","R_GlobalEnv",FALSE,"","",""
"File",9,"hourly.csv","data/9-hourly.csv","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2019-06-10T15.32.32EDT","adb2f232ff35b404c739958ec9ae403e","/Users/khanhl.ngo/HarvardForest/Day3Exercise/hourly.csv"
"File",10,"daily.csv","data/10-daily.csv","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2019-06-10T15.32.32EDT","3801fbd540f2d353d761a1434c416a4a","/Users/khanhl.ngo/HarvardForest/Day3Exercise/daily.csv"
"Data",11,"hourly.df","Row 1 101 2019  1 15 0.894 99.5 0.819 0.508  0 0.133 -2.835 1011 2.606 2.352 150...","{""container"":""data_frame"", ""dimension"":[15371,18], ""type"":[""integer"",""integer"",""integer"",""integer"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric""]}","R_GlobalEnv",FALSE,"","",""
